Crop_Name,Primary_Category,Family,Scientific_Name,Color_Hex,Variety_Default,Harvest_Unit,Price_Wholesale,Price_Retail,Yield_Lbs_Per_Ft,Calc_Method,Rec_Direct,Rec_Transplant,Rows_Per_Bed,In_Row_Spacing_In,Tray_Cell_Count,Seeder_Config,Safety_Buffer_%,DTM_Spring,DTM_Summer,DTM_Fall,DTM_Average,Nursery_Days,Days_To_Pot_Up,Days_To_Harden_Off,Germination_Days,Germ_Temp_F,Cold_Stratify?,Germination_Instructions,Hardiness_Zone,Rotation_Group,Common_Pests,Common_Diseases,Storage_Reqs,Temp_Day_Optimum,Temp_Night_Optimum,Soil_Temp_Optimum,Light_Req,Water_Req,pH_Min,pH_Max,Grower_Notes,Days_To_Maturity,Direct_or_Transplant,Frost_Hardy?,Light_Hours_Req,Water_Req_Gal_Week,Notes,Expected_First_Harvest,Expected_Last_Harvest,Harvest_Window_Days
Achillea - Yarrow,Floral,Asteraceae,Achillea millefolium,#9370DB,Parker's Variety,Stems,1,2.5,6,Linear Ft,No,Yes,3,12,128,,20,130,130,130,130,56,0,7,10,70,No,Light req,3-9,Floral,Aphids,Mildew,Fresh,65-80F,55-65F,70,Full sun,Med,5.5,7,,130,Transplant,No,12,0.5,,,,
Achillea - Yarrow,Floral,Asteraceae,Achillea millefolium,#8A2BE2,Summer Berries,Stems,1,2.5,6,Linear Ft,No,Yes,3,12,128,,20,130,130,130,130,56,0,7,10,70,No,Light req,3-9,Floral,Aphids,Mildew,Fresh,65-80F,55-65F,70,Full sun,Med,5.5,7,,130,Transplant,No,12,0.5,,,,
Ageratum,Floral,Asteraceae,Ageratum houstonianum,#9932CC,Blue Horizon,Stems,0.85,2.12,4,Linear Ft,No,Yes,3,9,128,,20,90,80,90,85,49,0,7,7,78,No,Light req,3-10,Floral,Thrips,Botrytis,Fresh,70-80F,60-70F,75,Sun/Part,Med,6,7,,85,Transplant,No,12,0.5,,,,
Ageratum,Floral,Asteraceae,Ageratum houstonianum,#9370DB,Red Top,Stems,0.85,2.12,4,Linear Ft,No,Yes,3,9,128,,20,90,80,90,85,49,0,7,7,78,No,Light req,3-10,Floral,Thrips,Botrytis,Fresh,70-80F,60-70F,75,Sun/Part,Med,6,7,,85,Transplant,No,12,0.5,,,,
Ageratum,Floral,Asteraceae,Ageratum houstonianum,#8A2BE2,Tall Blue Planet,Stems,0.85,2.12,4,Linear Ft,No,Yes,3,9,128,,20,90,80,90,85,49,0,7,7,78,No,Light req,3-10,Floral,Thrips,Botrytis,Fresh,70-80F,60-70F,75,Sun/Part,Med,6,7,,85,Transplant,No,12,0.5,,,,
Agrostemma,Floral,Caryophyllaceae,Agrostemma githago,#E6F2FF,Ocean Pearls,Stems,1.25,3.12,6,Linear Ft,No,Yes,3,6,128,,20,75,75,75,75,35,0,7,10,65,No,Cool germ,3-10,Floral,Aphids,Slugs,Fresh,55-65F,45-55F,60,Full sun,Med,6,7.5,,75,Transplant,No,12,0.5,,,,
Agrostemma,Floral,Caryophyllaceae,Agrostemma githago,#F0F8FF,Purple Queen,Stems,1.25,3.12,6,Linear Ft,No,Yes,3,6,128,,20,75,75,75,75,35,0,7,10,65,No,Cool germ,3-10,Floral,Aphids,Slugs,Fresh,55-65F,45-55F,60,Full sun,Med,6,7.5,,75,Transplant,No,12,0.5,,,,
Amaranthus,Floral,Amaranthaceae,Amaranthus spp.,#DB1A95,Coral Fountain,Stems,1,2.5,3,Linear Ft,No,Yes,3,12,128,,20,70,65,70,68,28,0,7,10,80,No,Warmth req,3-10,Floral,Aphids,Mildew,Fresh,70-85F,60-70F,80,Full sun,Med,6,7,,68,Transplant,No,12,0.5,,,,
Amaranthus,Floral,Amaranthaceae,Amaranthus spp.,#A50F6F,Emerald Tassels,Stems,1,2.5,3,Linear Ft,No,Yes,3,12,128,,20,70,65,70,68,28,0,7,10,80,No,Warmth req,3-10,Floral,Aphids,Mildew,Fresh,70-85F,60-70F,80,Full sun,Med,6,7,,68,Transplant,No,12,0.5,,,,
Amaranthus,Floral,Amaranthaceae,Amaranthus spp.,#8E0D5E,Hot Biscuits,Stems,1,2.5,3,Linear Ft,No,Yes,3,12,128,,20,70,65,70,68,28,0,7,10,80,No,Warmth req,3-10,Floral,Aphids,Mildew,Fresh,70-85F,60-70F,80,Full sun,Med,6,7,,68,Transplant,No,12,0.5,,,,
Amaranthus,Floral,Amaranthaceae,Amaranthus spp.,#750A4E,Love-Lies-Bleeding,Stems,1,2.5,3,Linear Ft,No,Yes,3,12,128,,20,70,65,70,68,28,0,7,10,80,No,Warmth req,3-10,Floral,Aphids,Mildew,Fresh,70-85F,60-70F,80,Full sun,Med,6,7,,68,Transplant,No,12,0.5,,,,
Amaranthus,Floral,Amaranthaceae,Amaranthus spp.,#DB1A95,Mira,Stems,1,2.5,3,Linear Ft,No,Yes,3,12,128,,20,70,65,70,68,28,0,7,10,80,No,Warmth req,3-10,Floral,Aphids,Mildew,Fresh,70-85F,60-70F,80,Full sun,Med,6,7,,68,Transplant,No,12,0.5,,,,
