Date,Transaction Type,Total Sales,Amount,Transfer Date,Status,Balance
2025-04-21,funding,"","$22,000.00 USD",2025-04-21,pending,"$22,000.00 USD"
2025-04-21,interest,"",$317.00 USD,2025-04-21,completed,"$22,317.00 USD"
2025-05-21,interest,"",$317.00 USD,2025-05-21,completed,"$22,634.00 USD"
2025-05-29,payment,$600.00 USD,-$102.00 USD,2025-06-01,completed,"$22,532.00 USD"
2025-05-30,payment,$216.50 USD,-$36.81 USD,2025-06-02,completed,"$22,495.19 USD"
2025-05-31,payment,"$1,635.50 USD",-$278.04 USD,2025-06-03,failed,"$22,495.19 USD"
2025-06-01,payment,"$1,075.00 USD",-$182.75 USD,2025-06-03,failed,"$22,495.19 USD"
2025-06-02,payment,$400.00 USD,-$68.00 USD,2025-06-03,failed,"$22,495.19 USD"
2025-06-03,payment,"$1,357.00 USD",-$230.69 USD,2025-06-04,failed,"$22,495.19 USD"
2025-06-04,payment,"$1,575.00 USD",-$267.75 USD,2025-06-05,completed,"$22,227.44 USD"
2025-06-05,payment,$870.00 USD,-$147.90 USD,2025-06-08,completed,"$22,079.54 USD"
2025-06-06,payment,"$1,140.00 USD",-$193.80 USD,2025-06-09,completed,"$21,885.74 USD"
2025-06-07,payment,"$2,061.00 USD",-$350.37 USD,2025-06-10,completed,"$21,535.37 USD"
2025-06-08,payment,"",$0.00 USD,2025-06-10,completed,"$21,535.37 USD"
2025-06-09,payment,"$1,647.00 USD",-$279.99 USD,2025-06-10,completed,"$21,255.38 USD"
2025-06-10,payment,$649.00 USD,-$110.33 USD,2025-06-11,completed,"$21,145.05 USD"
2025-06-11,payment,"",$0.00 USD,2025-06-12,completed,"$21,145.05 USD"
2025-06-12,payment,"",$0.00 USD,2025-06-15,completed,"$21,145.05 USD"
2025-06-13,payment,$184.00 USD,-$31.28 USD,2025-06-16,completed,"$21,113.77 USD"
2025-06-14,payment,"$1,206.00 USD",-$205.02 USD,2025-06-17,completed,"$20,908.75 USD"
2025-06-16,payment,$379.00 USD,-$64.43 USD,2025-06-17,completed,"$20,844.32 USD"
2025-06-16,payment,"",$0.00 USD,2025-06-17,completed,"$20,844.32 USD"
