Crop Type,Avg,Min,Max
Hot,110.0,110,110
Bell,85.0,75,110
Mild,81.0,63,110
Bells of Ireland,80.0,80,80
Digitalis (Foxglove),80.0,80,80
Celeriac,77.0,77,77
Celery,70.0,70,70
Viola (Pansy),70.0,70,70
Sweet,64.0,63,65
Stock,63.0,63,63
Cipollini,61.0,61,61
Hibiscus,61.0,61,61
Artichokes,60.0,60,60
Asian,59.0,59,59
European,59.0,59,59
Leeks,58.0,55,60
Red,57.0,57,57
Asclepias (Butterfly Weed),56.0,56,56
White,56.0,56,56
Strawflower/ Helipterum/ Paper Daisy,56.0,56,56
Statice,51.0,51,51
Shallots,50.0,50,50
Monarda (Bee Balm),50.0,50,50
Feverfew,50.0,50,50
Campanula Medium,50.0,50,50
Snapdragon,50.0,50,50
Ageratum,49.0,49,49
Basil (Flowers),49.0,49,49
Craspedia (Drumstick Flower),49.0,49,49
Aster,49.0,49,49
Cherry,48.0,45,50
Rudbeckia (Black-Eyed Susan),47.0,47,47
Slicer,46.0,45,54
Parsley,46.0,42,53
Sweet Pea,45.0,45,45
Paste,45.0,45,45
Basil,44.0,40,45
Fennel,43.0,43,43
Annual,42.0,42,42
Gomphrena (Globe Amaranth),42.0,42,42
Yellow,42.0,24,56
Ammobium,42.0,42,42
Artemisia,42.0,42,42
Didiscus (Lady Blue),42.0,42,42
Bee Balm,42.0,42,42
Celosia,42.0,42,42
Atriplex (Cut flower),40.0,40,40
Salpiglossis (Painted Tongue),40.0,40,40
Anise Hyssop,39.0,36,42
Ammi (False Queen Anne's Lace),38.0,38,38
Tomatillos,38.0,38,38
Radicchio,37.0,35,40
Larkspur,37.0,37,37
Cabbage,37.0,34,38
Kale,36.0,33,42
Bupleurum,36.0,36,36
Heading,35.0,35,35
Marigold,35.0,35,35
Cosmos,35.0,35,35
Nigella,35.0,35,35
Swiss Chard,35.0,35,35
Talinum (fame flower),35.0,35,35
Cauliflower,35.0,35,35
Orlaya,35.0,35,35
Shiso,35.0,35,35
Italian,35.0,35,35
Frisee,35.0,35,35
Amaranthus,35.0,35,35
Collards,35.0,35,35
Calendula (Ornamental),34.0,34,34
Kohlrabi,34.0,34,34
Ornamental Grasses,33.0,14,40
Centaurea (Bachelor's Button),33.0,33,33
Phlox,32.0,32,32
Lunaria annua - Annual Honesty,32.0,32,32
Onions: Scallions,31.0,19,35
Okra,31.0,31,31
Summer Crisp,30.0,28,31
Brussels Sprouts,30.0,29,31
Cabbage: Chinese (Napa),30.0,30,30
Zinnias,30.0,30,30
Chervil,28.0,28,28
Pac Choi (Bok Choy),28.0,28,28
Butterhead,28.0,28,28
Oakleaf,28.0,28,28
Escarole,28.0,28,28
Little Gem,28.0,28,28
Bibb,28.0,28,28
Celtuce,27.0,24,28
Raab & Broccolini,27.0,16,44
Poppy,25.0,22,31
Rutabaga,24.0,24,24
Pie,24.0,24,24
Winter Squash,24.0,24,24
Lettuce: Salad Mix,24.0,24,24
Medium,24.0,24,24
Patty Pan,24.0,24,24
Specialty,24.0,24,24
Zucchini,24.0,24,24
Beans: Fava,23.0,23,23
Mustard,23.0,21,24
Large,22.0,22,22
Beets,22.0,21,23
Cucumbers,21.0,20,23
Peanuts,21.0,21,21
Agrostemma (Corn Cockle),20.0,15,26
Melons,16.0,16,16
Single Stem,16.0,16,16
Spinach,15.0,15,15
Turnips,14.0,14,14
Dill,14.0,14,14
Ornamental & Dry,14.0,12,15
Snap,14.0,14,14
Cilantro,13.0,13,13
Saponaria,12.0,12,12
Popcorn,12.0,12,12
Radishes,10.0,10,10
