Order_Number,Seed_Company,Variety,Crop,Size,Quantity,Organic,At_Kretschmanns
Order Number,Seed Company,Variety,Description,Size,Quantity,Organic,Planted at Kretschmanns
944047,High Mowing,Giant Coral Zinnia,Zinnia,1/32 OZ,2,,
944047,High Mowing,Zohar F1 Sunflower,Sunflower,1 M,1,,
944047,High Mowing,Teddy Bear Sunflower,Sunflower,1 OZ,1,,
944047,High Mowing,Roggli Riesen Strawflower,Strawflower,1/16 OZ,1,,
944047,High Mowing,Sensation Blend Cosmos,Cosmos,1/8 OZ,1,,
944047,High Mowing,Esmee Arugula,Arugula,1 LB,1,,
5459112,Johnny's,Dunja,Organic (F1) Zucchini Squash Seed,250 Seeds,1,☑,
5459112,Johnny's,Yaya,Organic (F1) Carrot Seed,"25,000 Seeds",2,☑,
5459112,Johnny's,Frisygo,Pelleted Lettuce Seed,"1,000 Seeds",1,☑,
5459112,Johnny's,Cherokee,Pelleted Lettuce Seed,"1,000 Seeds",1,,
5459112,Johnny's,Muir,Organic Pelleted Lettuce Seed,"1,000 Seeds",1,☑,
5459112,Johnny's,German Winter,Thyme Seed,1 Ounce,1,,
5459112,Johnny's,Salanova® Green Batavia,Pelleted Lettuce Seed,"1,000 Seeds",1,☑,
726070,Fedco,Rossa Di Milano Organic Red Storage Onion,Organic Red Storage Onion,1/2oz,1,☑,
726070,Fedco,Boldog Hungarian Spice Organic Paprika Pepper,Organic Paprika Pepper,4g,1,☑,
5501607,Johnny's,Pantheon,(F1) Zucchini Squash Seed,250 Seeds,1,,
5501607,Johnny's,Pantheon,(F1) Zucchini Squash Seed,100 Seeds,1,,
5501607,Johnny's,Bolero,(F1) Carrot Seed,"100,000 Seeds",1,,
5501607,Johnny's,Boldor,Organic Beet Seed,"25,000 Seeds",1,☑,
5501607,Johnny's,Babybeat,Beet Seed,"25,000 Seeds",1,,
5501607,Johnny's,Chioggia Guardsmark,Beet Seed,"25,000 Seeds",1,,
5501607,Johnny's,Indigo,(F1) Pelleted Radicchio Seed,"1,000 Seeds",1,,
5501607,Johnny's,Perseo,Radicchio Seed,"1,000 Seeds",1,,
5501607,Johnny's,Red Meat,Radish Seed,1/4 Pound,1,,
5501607,Johnny's,BC1611,(F1) Broccoli Seed,"1,000 Seeds",1,,
5501607,Johnny's,Mini Mak,(F1) Radish Seed,1/4 Pound,1,,
5501607,Johnny's,ProCut® Red,(F1) Sunflower Seed,500 Seeds,1,,
5501607,Johnny's,ProCut® Plum,(F1) Sunflower Seed,500 Seeds,1,,
5501607,Johnny's,ProCut® Peach,(F1) Sunflower Seed,500 Seeds,1,,
5501607,Johnny's,KN-Bravo,(F1) Radish Seed,1/4 Pound,1,,
5501607,Johnny's,Champion Lavender,Pelleted (F1) Campanula Seed,Packet,4,,
5501607,Johnny's,Champion II Rose,Pelleted (F1) Campanula Seed,100 Seeds,2,,
5501607,Johnny's,Valentine,Sunflower Seed,500 Seeds,1,,
5501607,Johnny's,Ring of Fire,Sunflower Seed,250 Seeds,1,,
5501607,Johnny's,"Flower Buckets – 10 L, 10 Count",Flower Buckets,1 Unit,2,,
5501607,Johnny's,Kraft Paper Cut-Flower Sleeves – M,Cut-Flower Sleeves,500 Count,1,,
