Crop Type,Variety,Avg_Days_GH,Min_Days,Max_Days,Sowings,Seeds_Per_Cell,Flat_Type
Ageratum,Generic Variety,49.0,49,49,2,2.0,128 cell flats
Agrostemma (Corn Cockle),Ocean Pearls,20.5,15,26,2,2.0,"Paper pot 6"": 264"
Amaranthus,Generic Variety,35.0,35,35,5,2.0,128 cell flats
Ammi (False Queen Anne's Lace),1/2 reg and 1/2 dara,38.0,38,38,2,3.0,128 cell flats
Ammobium,Generic Variety,42.0,42,42,2,2.0,128 cell flats
Anise Hyssop,Anise Hyssop,42.0,42,42,1,2.0,128 cell flats
Anise Hyssop,Generic Variety,36.0,36,36,1,2.0,128 cell flats
Annual,Generic Variety,42.0,42,42,2,1.0,128 cell flats
Artemisia,Generic Variety,42.0,42,42,1,2.0,128 cell flats
Artemisia,Sweet Annie,42.0,42,42,1,2.0,128 cell flats
Artichokes,Imperial Star,60.0,60,60,4,1.0,72 cell flats
Asclepias (Butterfly Weed),Generic Variety,56.0,56,56,1,1.0,72 cell flats
Asian,Fairy Tale,59.0,59,59,2,1.0,128 cell flats
Asian,Orient Express,59.0,59,59,1,0.0,128 cell flats
Aster,Generic Variety,49.0,49,49,2,2.0,128 cell flats
Atriplex (Cut flower),Generic Variety,40.0,40,40,1,2.0,128 cell flats
Basil,Sweet Thai,40.0,40,40,1,3.0,"Paper pot 6"": 264"
Basil,prospera,45.0,45,45,9,4.0,200 cell flats
Basil (Flowers),Generic Variety,49.0,49,49,2,2.0,128 cell flats
Beans: Fava,Vroma,23.0,23,23,3,0.0,
Bee Balm,Wild Bergamot,42.0,42,42,1,2.0,128 cell flats
Beets,Babybeat,23.0,23,23,3,1.0,"Paper pot 4"": 264"
Beets,Boldor,21.0,21,21,4,1.0,"Paper pot 4"": 264"
Beets,Chioggia Guardsmark,21.0,21,21,4,1.0,"Paper pot 4"": 264"
Beets,Red Ace,22.0,22,22,4,1.0,"Paper pot 4"": 264"
Bell,Brocanto,75.0,75,75,1,1.0,200 cell flats
Bell,Milena,75.0,75,75,1,0.0,200 cell flats
Bell,Sprinter,80.0,80,80,1,0.0,200 cell flats
Bell,sailfish,110.0,110,110,1,1.0,200 cell flats
Bells of Ireland,Generic Variety,80.0,80,80,2,2.0,128 cell flats
