"Years: 1988 - 2024"
"1687 Projects Found"
"Project Number",URL,Title,"SARE Funds",Region,"Project Type",State,"Project Year","Grant Recipient Organization"
SW00-039,https://projects.sare.org/sare_project/SW00-039,"Control of Botrytis by Compost Tea Applications on Grapes in Oregon Vineyards","141,572.00",Western,"Research and Education",OR,2000,
LS18-297,https://projects.sare.org/sare_project/LS18-297,"Shade and Ground Cover Growing Systems for Tea Production in Florida","200,000.00",Southern,"Research and Education",FL,2018,"University of Florida"
FNC18-1147,https://projects.sare.org/sare_project/FNC18-1147,"Training and Research on Compost and Compost Teas to Increase Soil Health and Microbiology on Southwest Missouri Farms","15,000.00","North Central",Farmer/Rancher,MO,2018,"Ozark Mountain Permaculture "
OS23-163,https://projects.sare.org/sare_project/OS23-163,"From Field to Cup: Sustainable Soil Fertility Management for Quality Tea Production","29,869.00",Southern,"On Farm Research/Partnership",LA,2023,"Louisiana State University"
FNC12-867,https://projects.sare.org/sare_project/FNC12-867,"Reducing Input Costs for Urban Aeroponic and Hydroponic Farming","6,992.00","North Central",Farmer/Rancher,MO,2012,
FW15-037,https://projects.sare.org/sare_project/FW15-037,"Aerated Compost Tea- Field Guide","14,560.00",Western,Farmer/Rancher,NM,2015,
GS21-243,https://projects.sare.org/sare_project/GS21-243,"Arbuscular Mycorrhizal Fungal Associations in Tea Under Sustainable Production Systems in Florida","16,444.00",Southern,"Graduate Student",FL,2021,"University of Florida"
SW07-073,https://projects.sare.org/sare_project/SW07-073,"Enhancing Phytonutrient Content, Yield and Quality of Vegetables with Compost Tea in the Tropics","162,500.00",Western,"Research and Education",HI,2007,
FNC03-476,https://projects.sare.org/sare_project/FNC03-476,"Investigating the Use of Compost Tea for Rapid Restoration of Soil Ecology on Four Indiana Farms","17,959.00","North Central",Farmer/Rancher,IN,2003,
FNC20-1206,https://projects.sare.org/sare_project/FNC20-1206,"Using Actively Aerated Compost Tea in Organic Vegetable and Fruit Production","17,262.00","North Central",Farmer/Rancher,WI,2020,"Old Plank Farm"
FNC22-1324,https://projects.sare.org/sare_project/FNC22-1324,"Utilization of Worm Tea on Field Scale Trials for Soil Remediation","10,370.00","North Central",Farmer/Rancher,IN,2022,"Duncan's Worm Farm"
